Item,Produto,Status,Divergências,Detalhes
1,206916,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=31.69 || MVA %: XML=40.56 | SEFAZ=0.00
2,201830,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=18.86 || MVA %: XML=40.56 | SEFAZ=0.00
3,205879,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=9.43 || MVA %: XML=40.56 | SEFAZ=0.00
4,204834,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=16.27 || MVA %: XML=40.56 | SEFAZ=0.00
5,204033,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=16.26 || MVA %: XML=40.56 | SEFAZ=0.00
6,204031,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=22.55 || MVA %: XML=40.56 | SEFAZ=0.00
7,206463,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=16.48 || MVA %: XML=40.56 | SEFAZ=0.00
8,204294,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=39.18 || MVA %: XML=40.56 | SEFAZ=0.00
9,204504,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=469.97 || MVA %: XML=40.56 | SEFAZ=0.00
10,207153,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=58.75 || MVA %: XML=40.56 | SEFAZ=0.00
11,207154,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=60.72 || MVA %: XML=40.56 | SEFAZ=0.00
12,200083,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=29.87 || MVA %: XML=40.56 | SEFAZ=0.00
13,201858,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=20.71 || MVA %: XML=40.56 | SEFAZ=0.00
14,203984,DIVERGENTE,CST divergente; Diferença de valor > 0.05; MVA divergente,CST: XML=030 | SEFAZ=530 || TAX_VALUE: XML=0.00 | SEFAZ=30.91 || MVA %: XML=40.56 | SEFAZ=0.00
